,logP,Temperature,smiles
25432,1.4,,o1c(N(=O)(=O))ccc1C=CC=C2SC(=O)N(C)C2(=O)
25433,1.44,,o1c(N(=O)(=O))ccc1C=C2SC(=N)N(C)C2(=O)
25435,4.08,25.0,Clc1cccc2c1cccc2
25437,0.54,,O=CNc1sccn1
25438,1.16,,o1c(N(=O)(=O))ccc1C=C2C(=O)N=C(NC)S2
25439,1.78,,O1C(N(=O)=O)=CC=C1C=C2C(=O)N(C)C(=O)S2
25440,1.44,,o1c(N(=O)(=O))ccc1C=C2SC(=N)N(CC)C2(=O)
25441,1.42,,o1c(N(=O)(=O))ccc1C=C2SC(=NC)N(C)C2(=O)
25442,2.29,,o1c(N(=O)(=O))ccc1C=C2SC(=O)N(CC)C2(=O)
25443,2.22,,o1c(N(=O)(=O))ccc1C=C2C(=O)N(CC=C)C(=O)S2
25446,1.83,,c1cc(N)ccc1S(=O)(=O)Nc2ccc(C(#N))cc2
25453,5.2,,CC(c1c(cccc1)c2ccccc2)C
25486,1.8,,O(c(nccn1)c1CC)C
25489,1.14,,S1C(N(C)C)=NC(=O)C1=Cc2ccc(N(=O)(=O))o2
25507,1.35,,OC(=O)c1c(NCCO)cccc1
25509,3.45,,CCCOC(=O)c1ccccc1Cl
25515,3.42,,c1ccccc1c2nc3ccccc3cn2
25522,2.03,,c1ccccc1c2nnc(NCCN3CCOCC3)c(C)c2
25527,4.21,,Oc1ccc(Cl)cc1C(=O)Nc2ccccc2C
25533,-0.58,,c1nnnn1CC(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnc(C)s4)CSC23
25537,1.57,,O=S(=O)(c(ccc(O)c1)c1)c(ccc(N)c2)c2
25540,3.11,,CN(OC)C(=O)Nc1ccc(OCc2ccccc2)cc1
25545,1.67,,s1cccc1CN(C)C
25546,1.99,,s1cccc1CCN(C)C
25550,1.75,,c1c(C(=S)N)ccc(N(=O)=O)c1
25553,2.67,,COC(=O)C1C(C)(C)C1C=C(C)C(=O)OC
25556,3.34,,CC(C)OP(=O)(OC(C)C)SCc1ccccc1
25568,3.0,,c1cc(CCC)ccc1CC(=O)O
25569,3.48,,c1cc(C(C)(C)CC)ccc1CC(=O)O
25571,3.0,,CC1C(=O)OC(CC)C(C)(O)C(O)C(C)C(N)C(C)CC(C)(O)C(OC2OC(C)CC(N(C)C)C2O)C(C)C1OC3CC(C)(OC)C(O)C(C)O3
25574,2.31,,c1cc(OCCC)ccc1CC(=O)O
25576,2.6,,Nc1ccc2c(nc3c2cccc3)n1
25580,2.79,,Cc1ccc(cc1)C(=O)c2ccc(CC(O)=O)n2C
25588,2.7,,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
25603,2.4,,c1ccc2CCNCCc2c1Cl
25609,2.52,,[Na]OS(=O)(=O)c1cc(ccc1)CCCCCCCCCCCCC
25626,-0.82,,c1ccc2cccn(Cc3ccccc3)(Br)c2c1
25629,4.88,,c1ccccc1C(=O)c2ccc(N=C=S)cc2
25633,5.58,,CCCN(CC1CC1)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O
25641,4.51,,O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3C
25647,2.8,,c1cc(N(=O)(=O))ccc1OC(C)C
25655,3.21,,O=P(OCC)(OCC)Oc1c(C)cc(SC)cc1
25656,4.4,,S=P(OCC)(OCC)Oc1c(Cl)cc(SC)cc1
25660,2.45,,O=C1C=CSN1CCCCCCCC
25662,-1.66,,N1=C(CC(=O)O)C(=O)ON1
25663,0.4,,O=NN1CCSCC1
25670,1.06,,c1cc(NC(=O)C)c2nccnc2c1
25675,6.34,,Clc2c(cc(c(c2)Cl)Cl)c1c(cc(c(c1)Cl)Cl)Cl
25676,0.16,,c1cc2CCCc2cc1OC(=O)C(c3ccccc3)C(=O)NC4C5SC(C)(C)C(C(=O)O[Na])N5C4=O
25677,-0.68,,Cn1nc(N(=O)=O)nc1
25684,2.2,,ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl
25687,-2.76,,c1ccc2cccn(CC)(Br)c2c1
25689,2.06,,FC(F)OC(Cl)C(F)(F)F
25691,3.72,,O=P(OCC)(OCC)Oc1c(Cl)cc(SC)cc1Cl
25693,0.13,,O=P(OC)(OC)OC=C(C)C(=O)OC
25695,1.01,,s1cccc1CC(=O)NC2C(=O)N3C(C(=O)O)=C(CSC)CSC23
25705,2.56,,OC(c1ccccc1)(c2cncnc2)c3ccc(Cl)cc3Cl
25710,0.87,,c1cc(O)ccc1C(N)C(=O)NC2C(=O)N3C(C(=O)O)C(C)(C)SC23
25711,2.94,,O=P(OCC)(OCC)Oc1cc(Cl)c(SC)cc1
25713,0.82,,Nc1ccc(cc1)S(=O)(=O)Nc2ncccc2Cl
25717,1.32,,c1c(C)cccc1C(=O)NCC
25718,1.38,,c1cc(C)ccc1C(=O)NCC
25722,1.83,,C1COCCN1c2nsnc2OCC(O)CNC(C)(C)C
25729,-1.9,,c1cc(C)ccc1c2ccn(I)(C)cc2
25733,3.02,,c1c(Br)cccc1C=CC(=O)C
25747,0.67,,s1cccc1CC(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4sc(C)nn4)CSC23
25749,-0.67,,c1nnnn1CC(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nncs4)CSC23
25750,-0.7,,BrCC(=O)NC2C(=O)N3C(C(=O)O)=C(COC(=O)C)CSC23
25752,4.06,,Oc2ccccc2c1cc(ccc1)O
25762,1.76,,c1cc2N(C(=O)NC)C(=O)CN=C(c3ccccc3)c2cc1N(=O)=O
25766,0.8,,c1ccccc1C2S(=O)(=O)CC(=O)N2
25777,2.23,,c1ccccc1NC(=O)c2c(N(=O)=O)cc(N(=O)=O)c(N3CC3)c2
25806,1.56,,Nc1ccccc1S(=O)(=O)c2ccc(N)cc2
25807,1.25,,c1ccc(OC)cc1NC=O
25813,7.62,,CCCCCc1cc2OC(C)(C)C3CCC(=C)CC3c2c(OC)c1
25821,0.63,,N(=O)(=O)c1cc(N(=O)(=O))c(N2CC2)cc1C(=O)N(C)C
25823,2.5,,COc1ccccc1N2CCN(CCNC(=O)c3ccc(F)cc3)CC2
25831,1.63,,c1cc(OC(=O)C)ccc1C=CC(=O)C
25835,2.3,,c1c(C(F)(F)F)cccc1N2C(=O)C(Cl)=C(NC)C=N2
25839,3.07,,CC(C)NCC(O)COc1ccccc1C2CC2
25841,3.2,,Clc1c(Cl)c(Cl)c2COC(=O)c2c1Cl
25843,-3.01,,CN(C)(C)(c1cc(N(=O)(=O))ccc1)I
25854,0.93,,S1C(=S)NC(=O)C1=CC=Cc2ccc(N(=O)(=O))o2
25855,0.03,,Cc1sc(C)nn1
25876,3.34,,C1CCCCN1CC(=O)Nc2ccc(Cl)cc2
25877,1.35,,S1C(NC)=NC(=O)C1=CC=Cc2ccc(N(=O)(=O))o2
25878,1.16,,S1C(NCC)=NC(=O)C1=Cc2ccc(N(=O)(=O))o2
25879,1.24,,O1C(N(=O)=O)=CC=C1C=C2C(=O)N=C(NCCC)S2
25880,1.29,,O1C(N(=O)=O)=CC=C1C=C2C(=O)N=C(NC(C)C)S2
25882,0.78,,c1cccc(N(=O)=O)c1S(=O)(=O)CC(=O)OC
25888,0.56,,n1cncc(OCC)c1
25892,0.61,,NC(=O)c1ccccc1NCC(=O)C
25893,2.42,,S1C(=O)N(C(C)C)C(=O)C1=CC2=CC=C(N(=O)=O)O2
25896,0.63,,o1c(N(=O)(=O))ccc1C=C2SC(=O)NC2(=O)
25903,1.4,,C=CCOC1=NS(=O)(=O)c2ccccc12
25907,-0.3,,NC(=O)N(CCCN(N=O)C(=O)N)N=O
25908,0.58,,NC(=O)N(CCCCCCN(N=O)C(=O)N)N=O
25911,0.08,,C1(=O)NC(=O)C(C)(CC)C(=O)N1
25914,1.76,,c1cnccc1C(=O)c2ccc(N(=O)(=O))cc2
25915,4.57,,OC(=O)c1ccccc1Nc2cc(N(=O)(=O))ccc2
25916,4.31,,c1c(OC)cccc1Nc2ccccc2C(=O)O
25917,4.07,,c1c(C(=O)C)cccc1Nc2ccccc2C(=O)O
25921,0.9,,COc1nnccc1N(C)C
25923,2.37,,n1c(N)nc(N)c(Cc3cc(OC)c(OC)c(OCc4ccccc4)c3)c1
25926,4.47,,c1ccccc1CC(=O)Nc2cc(Cl)c(Cl)cc2
25929,2.32,,c1ccccc1CCC=NNC(=O)N
25931,5.5,,Brc1c(cc(c(c1c2c(c(cc(c2Br)Br)Br)Br)Br)Br)Br
25932,4.35,,n1ccc(CCCCCC)cc1
25937,-0.44,,c1ccccc1C(O)C(=O)NC2C(=O)N3C(C(=O)O)=C(COC(=O)C)CSC23
25938,2.18,,c1cc(OC)ccc1C(=O)CS(=O)(=O)c2ccccc2
25970,1.31,,CC(=O)Nc1cc(CC)c(O)cc1
25979,5.95,25.0,Clc1c(ccc(c1)Cl)Oc2ccc(cc2Cl)Cl
25981,-3.9,,NC(=O)OCCN(Br)(C)(C)C
25983,5.31,25.0,O=P(Oc1cc(ccc1)C(C)C)(Oc2ccccc2)Oc3ccccc3
25986,1.41,,c1(C)ccc(F)cc1N=C2NCCN2
25990,2.94,,CC(=O)Oc1c(Cl)cccc1Cl
25991,7.75,,CCCCCCCCCCCCCc1c(O)c(O)ccc1
25992,1.23,,O=P(OCCC)(SCCC)N
25993,-0.07,,O=P(OC)(SC)NC
25995,1.68,,CN(OC)C(=O)Nc1cc(F)ccc1
25996,1.73,,COc1cccc(NC(=O)N(C)C)c1
25998,1.96,,Fc1cccc(F)c1O
26000,0.94,,CC(C)NCC(O)COc1ccc(NC(=O)C)cc1C(=O)C
26005,2.72,,c1cc(CC)ccc1NC(=O)OC
26007,3.4,,CCN(CC)C(=O)SCc1ccc(Cl)cc1
26010,2.71,,c1ccccc1C2=CCN(C)CC2
26014,4.45,,c1c(C(F)(F)F)ccc(Cl)c1NN=C(C(#N))C(=O)OCC
26015,4.86,,c1cc(Cl)c(C(F)(F)F)cc1NN=C(C(#N))C(=O)OCC
26016,4.5,,c1c(Cl)cc(Cl)cc1NN=C(C(#N))C(=O)OC
26017,3.82,,c1c(Cl)cc(Cl)cc1NN=C(C(#N))C(=O)OCC
26018,4.22,,COC(=O)C(=NNc1ccc(cc1)S(=O)(=O)C(F)(F)F)C#N
26019,4.14,,c1cc(N(=O)(=O))cc(N(=O)(=O))c1NN=C(C(#N))C(=O)OCC
26020,4.36,,Clc1cc(C(F)(F)F)cc(Cl)c1NN=C(C(#N))C(=O)OC
26021,3.78,,c1ccc(C(F)(F)F)cc1NN=C(C(#N))C(=O)OC
26022,3.79,,c1cc(C(F)(F)F)ccc1NN=C(C(#N))C(=O)OC
26023,4.42,,c1c(C(F)(F)F)ccc(Cl)c1NN=C(C(#N))C(=O)OC
26024,3.44,,N(=O)(=O)c1cc(C(F)(F)F)ccc1NN=C(C(#N))C(=O)OC
26025,4.3,,c1cc(SC(F)(F)F)ccc1NN=C(C(#N))C(=O)OC
26027,5.08,,c1c(C(F)(F)F)ccc(Cl)c1NN=C(C(#N))C(=O)C
26028,4.1,,c1cc(Cl)ccc1NN=C(C(#N))C(=O)C
26029,4.0,,c1cccc(Cl)c1NN=C(C(#N))C(=O)C
26030,3.9,,c1ccc(Cl)cc1NN=C(C(#N))C(=O)C
26031,4.56,,c1cc(Cl)c(Cl)cc1NN=C(C(#N))C(=O)C
26032,4.68,,c1c(Cl)cc(Cl)cc1NN=C(C(#N))C(=O)C
26033,4.28,,c1cc(Cl)cc(C)c1NN=C(C(#N))C(=O)C
26034,3.4,,c1cc(N(=O)(=O))cc(N(=O)(=O))c1NN=C(C(#N))C(=O)C
26035,5.04,,c1cc(SC(F)(F)F)ccc1NN=C(C(#N))C(=O)C
26036,4.62,,c1ccc(Cl)cc1NN=C(C(#N))C(=O)C(C)(C)C
26037,5.67,,CC(C)(C)C(=O)C(=NNc1ccc(Cl)cc1C(F)(F)F)C#N
26040,5.21,,c1c(Cl)c(Cl)cc(Cl)c1NN=C(C(#N))C(=O)OCC
26042,5.31,,CC(C)(C)C(=O)C(=NNc1cc(ccc1Cl)C(F)(F)F)C#N
26043,5.44,,CC(C)(C)C(=O)C(=NNc1cc(cc(c1)C(F)(F)F)C(F)(F)F)C#N
26044,5.86,,c1c(Cl)c(Cl)cc(Cl)c1NN=C(C(#N))C(=O)C(C)(C)C
26049,1.8,,OC(=O)c1ccccc1NCC(#N)
26051,1.3,,COc1ccccc1NCC(#N)
26053,3.7,,c1cccc(C(F)(F)F)c1NN=C(C(#N))C(=O)OC
26059,4.64,,c1ccccc1Oc2c(Cl)cccc2Cl
26068,-1.09,,N1N=CC(N)=C1
26076,-0.13,,CC(C)CC(NC(=O)C)C(=O)N
26086,1.37,,CCCOC(=O)CNC(=O)CCCCSc1c2NC=Nc2ncn1
26087,1.92,,c1ccccc1C(=O)NC(=O)NCC
26089,-0.99,,O1C(CO)CCC1N2C(=O)NC(=O)C(Br)=C2
26091,-0.68,,n1cnc(C(=O)N)cc1
26115,1.94,,s1cc(C=CN(=O)(=O))cc1
26122,-1.0,,CS(=O)(=O)CCCn1c(C)ncc1N(=O)(=O)
26128,3.74,,C1=CC(Cl)C(Cl)C(Cl)C1Cl
26130,1.15,,CN1C(=O)N(CC(C)C)c2ncnc2C1=O
26133,3.15,,n1cc(Sc2ccccc2)ccc1
26137,0.84,,O=C(N(c(c(C1(C(N(C2)CC(C3C4C5OC6)C6)C3)C2)cc(OC)c7OC)c7)C14)C5
26141,2.68,,c1c(Cl)cc2C(c3c(F)cccc3F)=NCC(=O)Nc2c1
26142,2.42,,c1cc2N3C(C)=NN=C3CN=C(c4c(Cl)cccc4)c2cc1Cl
26143,1.74,,O1C(C)=NN=C1SCc2ccccc2
26148,2.12,,c1cc2N3C(C)=NN=C3CN=C(c4ccccc4)c2cc1Cl
26159,3.0,,c1cc(C)ccc1C(=O)N(N)c2ccccc2
26165,1.18,,c1cc(C(C)(C)C)ccc1OC2OC(CO)C(O)C(O)C2O
26168,4.3,,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
26169,4.1,,O=N(=O)c(c(N(CCC)CCC)c(N(=O)=O)c(N)c1C(F)(F)F)c1
26170,1.91,,C1CCCCC1NC(=O)NS(=O)(=O)c(c2)ccc(c2)CCNC(=O)c3cnc(C)cn3
26173,3.73,,c1ccccc1C(=O)OC(=NOCC)c2c(OC)ccc(Cl)c2OC
26178,0.22,,c1c(CC(=O)N)cccc1OCC(O)CNC(C)C
26179,0.16,,CC(C)NCC(O)COc1ccc(CC(=O)(N))cc1
26183,1.64,,c1ccc2S(=O)(=O)N(C)C(C(=O)Nc3nccs3)C(=O)c2c1
26199,0.93,,CN(C)C(=O)Oc1ccccc1C(=O)C
26200,4.2,,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1
26201,0.52,,c1c(C(=O)NN)cc(I)nc1
26213,0.49,,n1c(N)nc(N)nc1c2ccccc2N(=O)(=O)
26214,1.57,,Nc1nc(N)nc(n1)c2cccc(c2)N(=O)=O
26215,1.6,,n1c(N)nc(N)nc1c2ccc(N(=O)(=O))cc2
26216,1.19,,n1c(N)nc(N)nc1c2ccccc2Cl
26259,0.26,,c1cccc(Br)c1C(=O)NN
26260,2.05,,c1c(N(=O)(=O))cc2C(c3ccccc3)=NCC(=O)N(COC)c2c1
26261,2.86,,c1c(Cl)cc2C(c3ccccc3)=NCC(=O)N(COC)c2c1
26262,3.23,,c1c(Cl)cc2C(c3ccccc3Cl)=NCC(=O)N(COC)c2c1
26263,3.32,,c1c(Cl)cc2C(c3ccccc3)=NCC(=O)N(CSC)c2c1
26272,3.76,,CCC1=C(CCC)SSC1=S
26274,2.73,,c1ccc2cccnc2c1N(C)C
26275,1.76,,COc1cccc(c1)N2CCN(CCN(C)C)C2=O
26298,0.99,,n1nc(N(C)C)ccc1N(C)C
26301,2.05,,Cc1c(ccc(n1)C)C
26304,1.76,,CC(=O)Oc1ccccc1F
26311,3.25,,Clc1cc(ccc1Br)N(=O)=O
26313,-0.5,,CC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)N
26318,1.93,,c1cc2CNC(C)Cc2cc1
26321,2.83,,c1ccccc1C(=O)NCC(=O)Oc2ccc(C)cc2
26322,2.28,,c1ccccc1C(=O)NCC(=O)Oc2ccc(OC)cc2
26323,2.46,,c1ccccc1C(=O)NCC(=O)Oc2ccc(F)cc2
26327,5.44,,O=P(Oc1ccccc1)(Oc2ccccc2)OCCCCCCCC(C)C
26329,1.24,,COc1cc(cc(OC)c1OC)C2C3C(COC3=O)C(OC4OC5COC(OC5C(O)C4O)c6cccs6)c7cc8OCOc8cc27
26341,0.25,,c1c(Br)nccc1C(=O)NN
26342,1.61,,O=N(=O)c1cc2C3(CCN45)C4CC6C(C5)=CCOC(C6C37)CC(=O)N7c2cc1
26351,1.13,,Oc1ccc2nc(S(=O)(=O)N)sc2c1
26353,1.42,,c1ccccc1C2=NON(=O)=C2N
26357,2.04,,CCSCc1ccccc1OC(=O)NC
26358,2.59,,OC(=O)Cc1cc(OC)c(OCc2ccccc2)cc1
26363,1.01,,c1ccccc1C(=O)NCC(=O)Oc2ccc(N)cc2
26366,1.47,,c1ccccc1C2=N(=O)ON=C2N
26367,0.87,,c1c(N(=O)=O)ccc(C=NNC(=N)N)c1
26381,1.39,,O=C(NO)Nc(ccc(c1)Cl)c1
26383,0.83,,CN(OC)C(=O)Nc1cc(O)ccc1
26390,2.44,,n1c(N)nc(N)nc1c2cc(Br)ccc2
26391,1.88,,N1C(C)C(C)(C)OC1=Nc2ncc(N(=O)(=O))s2
26392,0.76,,c1ccccc1CN2C(=O)CC(=O)C2
26394,2.43,,c1c(N(C)C)cc2C(c3ccccc3)=NCC(=O)Nc2c1
26395,2.72,,O=C1CN=C(c3ccccc3Cl)c2cc(N(C)C)ccc2N1C
26396,3.04,,c1c(Cl)cc2C(c3c(Cl)cccc3Cl)=NCC(=O)N(C)c2c1
26398,5.55,,c4ccccc4C13CC2CC(C3)CC(C2)C1
26404,2.59,,c1cc2NC(=O)CN=C(C3=CC=CN3)c2cc1Cl
26408,-3.52,,N1=NC1C(=O)OCCN(Br)(C)(C)C
26410,1.19,,c1ccccc1CN2C(=O)NC(=O)C2(=O)
26420,1.68,,c1ccccc1COC(=O)NC
26429,1.26,,n1c(N)nc(N)nc1c2ccccc2C
26430,2.67,,Nc1nc(N)nc(n1)c2cc(C(F)(F)F)ccc2
26432,0.05,,C1=C(C)C(=O)NC(=O)N1C2OC(CO)C(N=N#N)C2
26433,1.73,,n1c(N)nc(N)nc1c2cc(F)ccc2
26434,1.61,,n1c(N)nc(N)nc1c2ccc(F)cc2
26435,1.26,,n1c(N)nc(N)nc1c2ccccc2Br
26436,0.4,,n1ccc(CCCN)cc1
26438,2.7,,c1cc(OC)ccc1N(CCCC(=O)O)C(=O)c2ccc(Cl)cc2
26440,-0.85,,COP(=O)(NC(C)=O)SC
26443,-2.03,,c12ncnc(N)c1nc(SC)n2C3OC4COP(=O)(O)OC4C3O
26445,-0.77,,C1(=O)C(O)=C(C)N(C)C=C1
26446,-0.31,,CCN1C=CC(=O)C(O)=C1C
26447,0.18,,CCCN1C=CC(=O)C(O)=C1C
26448,0.05,,CC(C)N1C=CC(=O)C(O)=C1C
26449,0.7,,CCCCN1C=CC(=O)C(O)=C1C
26450,1.24,,CC1=C(O)C(=O)C=CN1CCCCC
26451,1.9,,CC1=C(O)C(=O)C=CN1CCCCCC
26452,-1.1,,OCCN1C=CC(=O)C(O)=C1C
26457,-0.7,,c1ccccc1CCCCN(H)(H)(H)Cl
26459,1.8,,COC1CC(OC2C(C)OC(CC2O)OC3CCC4(C)C(CCC5C4CC(O)C6(C)C(CCC56O)C7=CC(=O)OC7)C3)OC(C)C1OC8CC(O)C(O)C(C)O8
26463,0.75,,s1cccc1C(=O)N(C)C
26469,6.6,,Clc1c(Cl)c(Cl)c2Oc3ccccc3Oc2c1Cl
26474,4.95,,c12c3c4cccc3Sc1cccc2cc4
26484,-2.0,,CC(NC(=O)C(C)NC(=O)C)C(=O)N
26487,-0.33,,c1ccccc1N2C(=O)CC(NC(=O)C)C2(=O)
26489,1.13,,CCN1CCN(CC)C1=S
26494,2.83,,C1CCN(CCC)C(=S)N1CCC
26521,2.93,,c1ccc2cc(Br)c(N=O)c(O)c2c1
26527,1.82,,Nc1ccc(cc1)S(=O)(=O)Nc2ccc(Cl)cn2
26528,1.97,,Nc1ccc(cc1)S(=O)(=O)Nc2ncc(Cl)cc2Cl
26529,1.24,,c1(Br)cccnc1NS(=O)(=O)c2ccc(N)cc2
26530,2.74,,Nc1ccc(cc1)S(=O)(=O)Nc2ncc(Br)cc2Br
26531,2.05,,Nc1ccc(S(Nc2c(C)cc(Br)cn2)(=O)=O)cc1
26532,1.79,,Nc1ccc(S(Nc2c(Br)cc(C)cn2)(=O)=O)cc1
26543,4.53,,c1ccccc1C2=CCCCC2
26546,0.38,,O=C1CCC(=O)N1c2cc(N(=O)(=O))ccc2
26548,1.8,,S1C(N(=O)=O)=CN=C1N=C2N(C)CCN2
26549,2.28,,S1C(N(=O)=O)=CN=C1N=C2N(CC)CCN2
26550,1.95,,S1C(N(=O)=O)=CN=C1N=C2N(C)CC(C)N2
26551,0.95,,CN1CCN(C)C1=Nc2ncc(N(=O)(=O))s2
26552,2.02,,S1C(N(=O)=O)=CN=C1N=C2N(C)C(C)CN2
26556,3.2,,CCCCCC(CCC)C(O)=O
26558,2.37,,O1C(C)C(O)C(OC)CC1OC2C3CCC4C5(O)CCC(C6=CC(=O)OC6)C5(C)CCC4C3(C)CC2
26559,5.03,,C1=CC(N)=NC(=O)N1C2C(O)C(O)C(COC(=O)CCCCCCCCCCCCCCC)O2
26561,0.24,,N1N=CC(C(#N))=C1
26562,-1.89,,OC1OC(CO)C(O)C(O)C1NC(=O)c2c(I)c(NC(=O)C)c(I)c(N(C)C(=O)C)c2I
26563,0.57,,c1ccccc1NCCCO
26564,-2.28,,OCC(O)CN(C)C(=O)c1c(I)c(C(=O)N(C)CC(O)CO)c(I)c(N(CCO)C(=O)C)c1I
26565,-2.71,,OCC(O)CN(C)C(=O)c1c(I)c(C(=O)N(C)CC(O)CO)c(I)c(NC(=O)C)c1I
26571,1.6,,c1c(N(=O)(=O))cc2cnnc2c1N(=O)(=O)
26573,3.82,,CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C
26589,2.64,,C1C(C)(O)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC3CC(C)(OC)C(OC=O)C(C)O3)C(C)C(=O)OC(CC)C(O)(C)C(O)C(C)C(=O)C1C
26590,3.23,,C1C(O)(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC3CC(C)(OC)C(OC(=O)C)C(C)O3)C(C)C(=O)OC(CC)C(C)C(O)C(C)C(=O)C1C
26591,3.05,,C1C(O)(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC3CC(C)(OC)C(OC=O)C(C)O3)C(C)C(=O)OC(CC)C(C)C(O)C(C)C(=O)C1C
26592,3.32,,C1C(O)(C)C(OC2C(O)C(N(C)C)CC(C)O2)C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)C(OC(=O)C)C(C)C(=O)C1C
26593,0.72,,c1cc(Cl)c2N=C(C)NS(=O)(=O)c2c1
26594,0.74,,c1c(C)cc2N=C(C)NS(=O)(=O)c2c1
26595,0.81,,Cc1ccc2N=C(C)NS(=O)(=O)c2c1
26596,0.62,,Fc1ccc2N=C(C)NS(=O)(=O)c2c1
26597,1.42,,Clc1c(N(=O)(=O))cc2N=C(C)NS(=O)(=O)c2c1
26598,0.52,,c1cc(C)c2N=C(C)NS(=O)(=O)c2c1
26601,2.45,,c1ccccc1C(=O)CS(=O)(=O)c2ccc(C)cc2
26604,0.58,,n1cnc(N(C)C)cc1
26605,0.46,,c1ncncc1N(C)C
26610,2.83,,c1c(C(=O)c3ccccc3)cc2nc(NC(=O)OC)n(H)c2c1
26613,0.07,,n1cncc(OC)c1
26616,-0.29,,NC(=O)OCCN1C(C)=NC=C1N(=O)=O
26619,7.12,,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)cc2Cl
26621,1.29,,CN1C(=O)N(CCCC)c2ncnc2C1=O
26623,2.84,,O=C(c(c(c1ccc(N(=O)=O)c2)ccc3N(=O)=O)c3)c12
26628,0.02,,n1c(F)nccc1
26630,3.17,,CC(=O)Nc1cc(Cl)cc(Cl)c1
26632,2.18,,FC(F)(c1cc(C2CNCCO2)ccc1)F
26634,5.76,,c1cc(Cl)c2cc(Cl)cc(Cl)c2c1Cl
26643,-1.05,,C1=CC(N)=NC(=O)N1C2C(O)C(O)C(CCl)O2
26646,-2.37,,C1(=N)N=C2OC3C(O)C(CO)OC3N2C=C1
26647,8.16,,Clc2c(c(c(c(c2Cl)Cl)Cl)Cl)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl
26676,0.68,,O=C1C=C2C=CC=CC2=NN1
26677,2.96,,c1ccc2ccccc2c1C3NC(=O)c4ccccc4N3
26678,6.67,,c1ccccc1C2(N3CCCCC3)CCC(C(C)(C)C)CC2
26680,0.95,,o1c(N)nnc1Cc2ccccc2
26686,1.34,,CN(N=O)CC(C)(C)C
26687,0.47,,c1cccc(I)c1C(=O)NN
26689,2.15,,CC(N)COc1c(C)cccc1C
26690,2.81,,c1ccc2c(OC)cc(C)nc2c1
26691,2.77,,c1cc(C(C)C(=O)O)ccc1N2C(=O)c3ccccc3C2
26704,-0.4,,CNC(=NC(#N))NC
26705,0.19,,C1(N(=O)=O)=C(OC)N(C)C=N1
26709,2.98,,c1ccc2Sc3ccc(NC(=O)OCC)cc3N(C(=O)CCN4CCOCC4)c2c1
26735,2.29,,N1C(=O)CC1Oc2cc3ccccc3cc2
26738,2.64,,Nc1nc(N)nc(C)c1C2(C4)CC(C3)CC(CC34)C2
26739,1.75,,COC1CC(OC2CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C2)OC(C)C1OC7CC(O)C(OC8CC(O)C(O)C(C)O8)C(C)O7
26743,3.11,,C1(C2C3)C2C(Br)C3C1
26746,1.69,,CC1=C(NCCCC)C(=O)N(c2ccccc2)C(=O)N1C
26747,2.11,,CC1=C(N(CC)CC)C(=O)N(c2ccccc2)C(=O)N1C
26749,1.4,,c1ccccc1N2C(=O)NC(=O)C(N(C)C)=C2C
26777,0.62,,C1C(C)N2C(=O)C(C(=O)OCC)=CN=C2CC1
26778,0.25,,c1ccn2C(=O)C(C(=O)OCC)=CN=c2c1
26780,0.3,,C1C(C)N2C(=O)C=CN=C2CC1
26781,0.31,,c1ccccc1CC(=O)NS(=O)(=O)N
26783,0.56,,n1c(NC)cncc1
26784,3.6,,Oc1c(Cl)cc(Cl)c(Cl)c1O
26785,2.19,,CC1=C(N(CC)CC)C(=O)N(C)C(=O)N1c2ccccc2
26792,1.98,,c1ccccc1N2C(=O)N(CC=C)C(=O)C(N(C)C)=C2C
26799,2.26,,c1ccccc1N2C(=O)N(C)C(C)=C(N3CCCC3)C2=O
26800,0.69,,c1ccccc1N2C(=O)N(C)C(C)=C(N3CCOCC3)C2=O
26802,1.44,,c1ccccc1N2C(=O)C(N(C)C)=C(C)N(CC=C)C2=O
26804,2.58,,CC(N)Cc1c(OC)cc(Br)c(OC)c1
26808,4.8,,O=C(OC(CCC(C(C)(C)C)C1)C1)C
26810,-2.91,,c1ccc(Br)cn1(I)C
26812,1.81,,C1(C)=CCC(C(O)(C)C)CC1O
26824,1.43,,N(N=O)(CCF)C(=O)NC1CCSCC1
